Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709312938,66,,Aggregated,17.500000,0.000000,7,8,8,8,10,14,17,23,24,24,24,400,0,7,7.252195112532718,2.9223749988886993,65.39629199687624,68.5225
1709312939,68,POST,//query,18.700000,0.000000,7,8,8,9,11,12,17,23,24,24,24,425,0,7,7.276519216521753,2.9223749988886993,65.39629199687624,68.42588235294117
1709312939,68,,Aggregated,18.700000,0.000000,7,8,8,9,11,12,17,23,24,24,24,425,0,7,7.276519216521753,2.9223749988886993,65.39629199687624,68.42588235294117
1709312940,70,POST,//query,18.400000,0.000000,7,8,8,9,10,12,15,17,22,22,22,454,0,7,7.205350308421084,2.9223749988886993,65.39629199687624,68.44493392070484
1709312940,70,,Aggregated,18.400000,0.000000,7,8,8,9,10,12,15,17,22,22,22,454,0,7,7.205350308421084,2.9223749988886993,65.39629199687624,68.44493392070484
1709312941,72,POST,//query,19.200000,0.000000,7,8,8,9,10,12,15,17,22,22,22,477,0,7,7.180115645731222,2.9223749988886993,65.39629199687624,68.58909853249476
1709312941,72,,Aggregated,19.200000,0.000000,7,8,8,9,10,12,15,17,22,22,22,477,0,7,7.180115645731222,2.9223749988886993,65.39629199687624,68.58909853249476
1709312942,74,POST,//query,19.800000,0.000000,7,8,8,8,10,11,14,17,22,22,22,510,0,7,7.148580629441045,2.9223749988886993,65.39629199687624,68.52941176470588
1709312942,74,,Aggregated,19.800000,0.000000,7,8,8,8,10,11,14,17,22,22,22,510,0,7,7.148580629441045,2.9223749988886993,65.39629199687624,68.52941176470588
1709312943,76,POST,//query,21.200000,0.000000,7,8,8,8,10,12,14,17,22,22,22,530,0,7,7.129851333998234,2.9223749988886993,65.39629199687624,68.57924528301886
1709312943,76,,Aggregated,21.200000,0.000000,7,8,8,8,10,12,14,17,22,22,22,530,0,7,7.129851333998234,2.9223749988886993,65.39629199687624,68.57924528301886
1709312944,78,POST,//query,21.400000,0.000000,7,8,8,8,10,11,12,17,22,22,22,558,0,7,7.115861406842623,2.9223749988886993,65.39629199687624,68.4695340501792
1709312944,78,,Aggregated,21.400000,0.000000,7,8,8,8,10,11,12,17,22,22,22,558,0,7,7.115861406842623,2.9223749988886993,65.39629199687624,68.4695340501792
1709312945,80,POST,//query,23.400000,0.000000,7,7,8,8,10,11,12,17,22,22,22,588,0,7,7.099905182010745,2.9223749988886993,65.39629199687624,68.41666666666667
1709312945,80,,Aggregated,23.400000,0.000000,7,7,8,8,10,11,12,17,22,22,22,588,0,7,7.099905182010745,2.9223749988886993,65.39629199687624,68.41666666666667
1709312946,82,POST,//query,23.400000,0.000000,7,7,8,8,10,11,12,17,22,22,22,618,0,7,7.053665317215242,2.9223749988886993,65.39629199687624,68.39320388349515
1709312946,82,,Aggregated,23.400000,0.000000,7,7,8,8,10,11,12,17,22,22,22,618,0,7,7.053665317215242,2.9223749988886993,65.39629199687624,68.39320388349515
1709312947,84,POST,//query,24.800000,0.000000,7,7,8,8,10,10,11,12,12,12,12,645,0,7,7.054735139581328,2.9223749988886993,65.39629199687624,68.43565891472868
1709312947,84,,Aggregated,24.800000,0.000000,7,7,8,8,10,10,11,12,12,12,12,645,0,7,7.054735139581328,2.9223749988886993,65.39629199687624,68.43565891472868
1709312948,86,POST,//query,25.800000,0.000000,6,7,8,8,10,10,11,12,12,12,12,670,0,7,7.013417841843156,2.9223749988886993,65.39629199687624,68.4865671641791
1709312948,86,,Aggregated,25.800000,0.000000,6,7,8,8,10,10,11,12,12,12,12,670,0,7,7.013417841843156,2.9223749988886993,65.39629199687624,68.4865671641791
1709312949,88,POST,//query,26.000000,0.000000,6,7,8,8,10,10,11,12,12,12,12,705,0,7,7.016605663901577,2.9223749988886993,65.39629199687624,68.33475177304965
1709312949,88,,Aggregated,26.000000,0.000000,6,7,8,8,10,10,11,12,12,12,12,705,0,7,7.016605663901577,2.9223749988886993,65.39629199687624,68.33475177304965
1709312950,90,POST,//query,26.700000,0.000000,6,7,8,8,9,10,11,12,12,12,12,736,0,7,6.9924702133952765,2.9223749988886993,65.39629199687624,68.29211956521739
1709312950,90,,Aggregated,26.700000,0.000000,6,7,8,8,9,10,11,12,12,12,12,736,0,7,6.9924702133952765,2.9223749988886993,65.39629199687624,68.29211956521739
1709312951,92,POST,//query,27.000000,0.000000,6,7,8,8,9,10,11,12,13,13,13,773,0,7,6.9745318461310815,2.9223749988886993,65.39629199687624,68.16170763260025
1709312951,92,,Aggregated,27.000000,0.000000,6,7,8,8,9,10,11,12,13,13,13,773,0,7,6.9745318461310815,2.9223749988886993,65.39629199687624,68.16170763260025
1709312952,94,POST,//query,28.200000,0.000000,6,7,8,8,9,10,13,120,120,120,120,806,0,7,7.476057373509587,1.514290997874923,118.97708299875376,68.23449131513648
1709312952,94,,Aggregated,28.200000,0.000000,6,7,8,8,9,10,13,120,120,120,120,806,0,7,7.476057373509587,1.514290997874923,118.97708299875376,68.23449131513648
1709312953,96,POST,//query,29.000000,0.000000,6,7,8,8,10,11,13,120,120,120,120,828,0,7,7.473658405852683,1.514290997874923,118.97708299875376,68.262077294686
1709312953,96,,Aggregated,29.000000,0.000000,6,7,8,8,10,11,13,120,120,120,120,828,0,7,7.473658405852683,1.514290997874923,118.97708299875376,68.262077294686
1709312954,98,POST,//query,30.000000,0.000000,6,7,8,8,9,11,13,120,120,120,120,866,0,7,7.456233533541968,1.514290997874923,118.97708299875376,68.14896073903002
1709312954,98,,Aggregated,30.000000,0.000000,6,7,8,8,9,11,13,120,120,120,120,866,0,7,7.456233533541968,1.514290997874923,118.97708299875376,68.14896073903002
1709312955,100,POST,//query,29.600000,0.000000,6,7,8,8,10,11,13,120,120,120,120,899,0,7,7.438231312624458,1.514290997874923,118.97708299875376,68.03559510567297
1709312955,100,,Aggregated,29.600000,0.000000,6,7,8,8,10,11,13,120,120,120,120,899,0,7,7.438231312624458,1.514290997874923,118.97708299875376,68.03559510567297
1709312956,102,POST,//query,30.100000,0.000000,6,7,8,8,10,11,13,93,120,120,120,934,0,7,7.409928699191011,1.514290997874923,118.97708299875376,68.04603854389721
1709312956,102,,Aggregated,30.100000,0.000000,6,7,8,8,10,11,13,93,120,120,120,934,0,7,7.409928699191011,1.514290997874923,118.97708299875376,68.04603854389721
1709312957,104,POST,//query,30.300000,0.000000,6,7,8,8,10,11,14,93,120,120,120,979,0,7,7.3753765638826065,1.514290997874923,118.97708299875376,68.08375893769153
1709312957,104,,Aggregated,30.300000,0.000000,6,7,8,8,10,11,14,93,120,120,120,979,0,7,7.3753765638826065,1.514290997874923,118.97708299875376,68.08375893769153
1709312958,106,POST,//query,30.700000,0.000000,7,7,8,9,10,12,17,93,120,120,120,1011,0,7,7.419235230528209,1.514290997874923,118.97708299875376,68.08209693372898
1709312958,106,,Aggregated,30.700000,0.000000,7,7,8,9,10,12,17,93,120,120,120,1011,0,7,7.419235230528209,1.514290997874923,118.97708299875376,68.08209693372898
1709312959,108,POST,//query,32.500000,0.000000,7,8,8,9,10,13,17,93,120,120,120,1041,0,7,7.425365134547416,1.514290997874923,118.97708299875376,68.12584053794428
1709312959,108,,Aggregated,32.500000,0.000000,7,8,8,9,10,13,17,93,120,120,120,1041,0,7,7.425365134547416,1.514290997874923,118.97708299875376,68.12584053794428
1709312960,110,POST,//query,33.600000,0.000000,7,8,8,9,10,13,17,93,120,120,120,1081,0,7,7.443916993598123,1.514290997874923,118.97708299875376,68.15911193339501
1709312960,110,,Aggregated,33.600000,0.000000,7,8,8,9,10,13,17,93,120,120,120,1081,0,7,7.443916993598123,1.514290997874923,118.97708299875376,68.15911193339501
1709312961,112,POST,//query,34.000000,0.000000,7,8,9,9,11,13,15,16,17,17,17,1122,0,7,7.494010936791446,1.514290997874923,118.97708299875376,68.15508021390374
1709312961,112,,Aggregated,34.000000,0.000000,7,8,9,9,11,13,15,16,17,17,17,1122,0,7,7.494010936791446,1.514290997874923,118.97708299875376,68.15508021390374
1709312962,114,POST,//query,34.100000,0.000000,7,8,9,10,11,13,15,16,17,17,17,1161,0,7,7.512519651207124,1.514290997874923,118.97708299875376,68.13178294573643
1709312962,114,,Aggregated,34.100000,0.000000,7,8,9,10,11,13,15,16,17,17,17,1161,0,7,7.512519651207124,1.514290997874923,118.97708299875376,68.13178294573643
1709312963,116,POST,//query,34.000000,0.000000,7,8,9,9,11,13,15,16,17,17,17,1198,0,7,7.504312207894815,1.514290997874923,118.97708299875376,68.12520868113522
1709312963,116,,Aggregated,34.000000,0.000000,7,8,9,9,11,13,15,16,17,17,17,1198,0,7,7.504312207894815,1.514290997874923,118.97708299875376,68.12520868113522
1709312964,118,POST,//query,35.200000,0.000000,7,8,9,10,12,13,16,17,20,20,20,1240,0,7,7.552661342786802,1.514290997874923,118.97708299875376,68.09677419354838
1709312964,118,,Aggregated,35.200000,0.000000,7,8,9,10,12,13,16,17,20,20,20,1240,0,7,7.552661342786802,1.514290997874923,118.97708299875376,68.09677419354838
1709312965,120,POST,//query,35.400000,0.000000,7,9,9,10,12,14,16,17,20,20,20,1275,0,7,7.552309628286714,1.514290997874923,118.97708299875376,68.07921568627451
1709312965,120,,Aggregated,35.400000,0.000000,7,9,9,10,12,14,16,17,20,20,20,1275,0,7,7.552309628286714,1.514290997874923,118.97708299875376,68.07921568627451
1709312966,122,POST,//query,36.900000,0.000000,7,9,9,10,12,14,16,17,20,20,20,1326,0,7,7.551830869586954,1.514290997874923,118.97708299875376,68.06410256410257
1709312966,122,,Aggregated,36.900000,0.000000,7,9,9,10,12,14,16,17,20,20,20,1326,0,7,7.551830869586954,1.514290997874923,118.97708299875376,68.06410256410257
1709312967,124,POST,//query,37.700000,0.000000,7,9,9,10,12,13,15,16,20,20,20,1364,0,7,7.539516452405896,1.514290997874923,118.97708299875376,68.04765395894428
1709312967,124,,Aggregated,37.700000,0.000000,7,9,9,10,12,13,15,16,20,20,20,1364,0,7,7.539516452405896,1.514290997874923,118.97708299875376,68.04765395894428
1709312968,126,POST,//query,38.700000,0.000000,7,9,9,10,12,13,15,16,20,20,20,1406,0,7,7.5608499438756,1.514290997874923,118.97708299875376,67.99288762446658
1709312968,126,,Aggregated,38.700000,0.000000,7,9,9,10,12,13,15,16,20,20,20,1406,0,7,7.5608499438756,1.514290997874923,118.97708299875376,67.99288762446658
1709312969,128,POST,//query,38.300000,0.000000,7,9,9,10,12,13,15,16,20,20,20,1443,0,7,7.552950031237647,1.514290997874923,118.97708299875376,68.00554400554401
